,fuel_type,body_type,owner_type,transmission_type,manufacture,seat,owner_no,oem,price,mileage,engine_capacity,city,kilometers_log
1186,1,4,1,1,2016.0,5.0,1,3,6.47,17.01,1591.0,1,10.637272710686252
1187,2,4,2,2,2012.0,5.0,2,24,9.25,16.0,2400.0,1,11.744473598628248
1188,1,4,1,1,2020.0,5.0,1,8,6.45,20.3,1199.0,1,9.900232259815455
1189,1,3,1,1,2016.0,5.0,1,16,2.53,22.7,799.0,1,11.020692586561552
1190,2,2,2,1,2012.0,7.0,2,27,10.25,13.5,2477.0,1,11.513355372546723
1191,2,2,1,1,2013.0,7.0,1,27,11.75,13.5,2477.0,1,11.156736117396209
1192,2,3,2,1,2018.0,5.0,2,15,6.0,20.14,1498.0,1,11.40832021957955
1193,1,4,1,1,2015.0,5.0,1,3,4.05,19.1,1197.0,1,11.370139956221665
1194,2,4,2,2,2011.0,5.0,2,5,10.4,15.8,2143.0,1,11.362102575235644
1195,1,4,1,1,2015.0,5.0,1,1,5.85,20.73,1373.0,1,11.282241052697477
1196,2,4,1,2,2012.0,5.0,1,11,11.75,16.55,1968.0,1,11.362544338109172
1197,1,3,1,1,2015.0,5.0,1,1,3.85,18.9,998.0,1,11.154291460467713
1198,2,5,1,1,2017.0,7.0,1,10,17.5,13.68,2393.0,1,12.761025793173605
1199,1,3,1,1,2013.0,5.0,1,3,3.1,20.36,1197.0,1,11.803555687354164
1200,1,2,1,2,2016.0,5.0,1,3,9.16,13.0,1591.0,1,11.359552815731995
1201,2,3,1,1,2022.0,5.0,1,8,8.0,23.64,1497.0,1,9.086702731518004
1202,2,4,2,1,2011.0,5.0,2,10,4.75,21.43,1364.0,1,11.695721908987394
1203,1,3,1,1,2019.0,5.0,1,10,6.99,22.35,1197.0,1,10.78987562305597
1204,2,2,2,1,2017.0,5.0,2,4,7.14,25.5,1498.0,1,11.17178635541831
1205,1,4,1,1,2020.0,5.0,1,4,7.5,18.6,1199.0,1,9.998797732340453
1206,1,3,1,1,2020.0,5.0,1,3,6.26,20.7,1197.0,1,11.608726433409014
1207,1,4,1,1,2012.0,5.0,1,4,4.65,17.4,1497.0,1,11.350735892993017
1208,1,4,1,1,2021.0,5.0,1,4,12.68,18.6,1498.0,1,9.304741047397666
1209,1,4,2,1,2017.0,5.0,2,3,8.05,14.59,1999.0,1,11.656887271209548
1210,2,2,2,1,2011.0,5.0,2,21,4.75,17.67,1968.0,1,11.29055661349859
1211,2,4,1,1,2012.0,5.0,1,21,3.75,20.5,1598.0,1,11.2902692948665
1212,1,3,1,1,2020.0,5.0,1,1,5.1,21.7,998.0,1,9.709477955946982
1213,1,2,1,2,2022.0,5.0,1,6,93.5,11.24,2998.0,1,8.987196820661973
1214,1,3,1,2,2017.0,5.0,1,1,6.6,21.4,1197.0,1,10.893381843654915
1215,2,5,2,1,2011.0,8.0,2,12,4.95,15.4,2179.0,1,11.513525285042196
1216,1,4,1,2,2017.0,5.0,1,15,7.9,18.19,1197.0,1,11.440354772135393
1217,2,5,1,1,2013.0,7.0,1,1,6.9,20.77,1248.0,1,11.314474526246391
1218,2,4,1,2,2013.0,5.0,1,6,14.5,18.12,1995.0,1,11.513495302581934
1219,2,4,1,1,2016.0,5.0,1,15,5.7,21.66,1498.0,1,11.517166459227482
1220,2,4,1,1,2018.0,5.0,1,3,8.27,22.0,1582.0,1,11.537588808839592
1221,1,4,2,1,2011.0,5.0,2,10,3.45,17.6,1496.0,1,11.492130745713522
